date,slug,topic,goal,notes
2026-01-02,2026-01-02-h-pylori-treatment-stop-defaulting-to-clarithro-triple,H. pylori treatment: stop defaulting to clarithro triple,ACG issued a 2024 guideline favoring 14-day optimized bismuth quadruple therapy,Treatment
2026-01-03,2026-01-03-pneumococcal-catch-up-for-adults-5064-with-no-prior-pcv,Pneumococcal catch-up for adults 50–64 with no prior PCV,ACIP’s Oct 2024 age expansion created new catch-up needs,Preventive
2026-01-04,2026-01-04-fertility-preservation-protocols-in-cancer-care,Fertility preservation protocols in cancer care,2025 standardization across oncology centers.,Reproductive Endocrinology/Oncology
2026-01-05,2026-01-05-endovascular-therapy-for-stroke-up-to-24hour-window,Endovascular therapy for stroke up to 24‑hour window,New data support extended time window with imaging selection.,Neurology/Neurointerventional
2026-01-06,2026-01-06-mriguided-hifu-for-prostate-cancer,MRI‑guided HIFU for prostate cancer,"Robotic, minimally invasive options expanding in 2025.",Urology
2026-01-07,2026-01-07-teleicu-and-remote-neuro-monitoring-expansion,Tele‑ICU and remote neuro monitoring expansion,Post‑COVID workforce models continue expanding in 2025.,Critical Care/Neurology
2026-01-08,2026-01-08-cap-outpatient-antibiotics-macrolide-resistance-and-local-antibiograms,CAP outpatient antibiotics: macrolide resistance and local antibiograms,Guidance updates and stewardship messaging in 2025,Treatment
2026-01-09,2026-01-09-nonalcoholic-fatty-liver-renamed-masld-what-primary-care-should-order,Nonalcoholic fatty liver renamed MASLD: what primary care should order,Terminology and care pathways reinforced 2024–2025,Treatment
2026-01-10,2026-01-10-rsv-vaccination-in-adults-who-should-get-it-6074-at-risk-75-all,RSV vaccination in adults: who should get it (60–74 at risk; ≥75 all),ACIP updated guidance for 2024–25 clarified risk-based vs age-based use,Preventive
2026-01-11,2026-01-11-rapid-correction-of-severe-hyponatremia-810-meq-24h-favored-over-very-slow-correction,Rapid correction of severe hyponatremia (8‑10 mEq/24h) favored over very slow correction,2025 meta‑analysis suggests lower mortality with faster correction.,Endocrinology/Nephrology
2026-01-12,2026-01-12-long-covid-outpatient-care-who-to-refer-and-what-to-monitor,Long COVID outpatient care: who to refer and what to monitor,New clinic models and evolving guidance through 2024–2025,Treatment
2026-01-13,2026-01-13-new-adult-pneumococcal-rules-incl-pcv21-capvaxive-and-routine-pcv-at-50,New adult pneumococcal rules incl. PCV21 (Capvaxive) and routine PCV at ≥50,PCV21 FDA-approved in 2024 and ACIP expanded routine PCV to adults ≥50 in Oct 2024,Preventive
2026-01-14,2026-01-14-opill-otc-norgestrel-implementation-in-primary-care,Opill (OTC norgestrel) implementation in primary care,OTC oral contraceptive availability expanded in 2024,Treatment
2026-01-15,2026-01-15-psoriatic-arthritis-treattotarget-and-imagingguided-monitoring,Psoriatic arthritis: treat‑to‑target and imaging‑guided monitoring,2024 consensus promotes closer derm‑rheum coordination.,Rheumatology/Dermatology
2026-01-16,2026-01-16-hiv-care-prevention-updated-perinatal-and-adult-prep-art-nuances,HIV care & prevention: updated perinatal and adult PrEP/ART nuances,"Multiple 2025 updates (e.g., lenacapavir PrEP; perinatal guidance)",Treatment
2026-01-17,2026-01-17-expanded-biologic-use-for-severe-asthma-tezepelumab-etc,Expanded biologic use for severe asthma (tezepelumab etc.),Guideline updates highlight earlier use of biologics.,Pulmonology/Allergy
2026-01-18,2026-01-18-reversal-of-anticoagulation-in-intracerebral-hemorrhage,Reversal of anticoagulation in intracerebral hemorrhage,New protocols for DOAC‑related bleeds in 2025.,Neurology/Neurosurgery
2026-01-19,2026-01-19-managing-adhd-meds-amid-ongoing-shortages-and-new-safety-labeling-6y,Managing ADHD meds amid ongoing shortages (and new safety labeling <6y),FDA safety/shortage updates persisted into 2025,Treatment
2026-01-20,2026-01-20-shorter-antibiotic-duration-7-vs-14-days-for-nonstaph-bloodstream-infections,Shorter antibiotic duration (7 vs 14 days) for non‑Staph bloodstream infections,BALANCE trial (2025) shows equivalence of 7 days.,Infectious Disease/Hospital Medicine
